   2.0000000e+01   2.2583298e+02   2.6439125e+00   1.8071168e-02
   2.0000000e+01   2.2786881e+02   4.7581735e+00   1.7669020e-02
   4.0000000e+01   2.2937947e+02   7.1202538e+00   1.7364628e-02
   5.5000000e+01   2.3088100e+02   9.1444248e+00   1.7045805e-02
   5.5000000e+01   2.3220325e+02   1.0598411e+01   1.6749203e-02
   1.1500000e+02   2.3342723e+02   1.1686871e+01   1.6431822e-02
   1.1500000e+02   2.3399440e+02   1.1692139e+01   1.6180254e-02
   1.8000000e+02   2.3440357e+02   1.1621742e+01   1.5908431e-02
   2.0000000e+02   2.3443172e+02   1.1449276e+01   1.5643662e-02
   2.0000000e+02   2.3438777e+02   1.1265141e+01   1.5380138e-02
   2.0000000e+02   2.3417027e+02   1.1077623e+01   1.5145356e-02
   3.0000000e+02   2.3388221e+02   1.0843009e+01   1.4859314e-02
   0.0000000e+00   2.3388221e+02   1.0843009e+01   1.4859314e-02
